2022-05-09 14:51:13.775738 CLASS: MAIN, METHOD: main() LOG: asistente
2022-05-11 13:41:35.485574 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION NO ESTABA DESCARGADA
2022-05-11 13:41:35.488447 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 13:41:35.491374 CLASS: CALENDAR_CHECK, METHOD: ADD_NOTIFICATION LOG: ACTUALIZANDO EL FICHERO DE NOTIFICATIONES
2022-05-11 13:41:35.494865 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 13:41:35.497707 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 13:41:35.501133 CLASS: NOTIFICATION_STORAGE, METHOD: ADD_NOTIFICATIONS_TO_SAY_NOW LOG: AÑADIENDO LA NOTIFICACION AL ARRAY PARA NOTIFICAR Y BORRANDOLA DEL TOTAL
2022-05-11 13:41:35.504036 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 13:41:41.523820 CLASS: BLUETOOTH_NEAR_BY, METHOD: NEAR_BY() LOG: La pulsera con la direccion MAC: C8:72:64:ED:20:B0encontrada: False
2022-05-11 13:41:41.526736 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: ACTUALIZANDO ARRAYS
2022-05-11 13:41:41.529499 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 13:42:11.217751 CLASS: MAIN, METHOD: main() LOG: qué pasa tío a ver te cuento eso ya lo de las notificaciones te por ejemplo sony 41 pues hay 43 me tendría que avisar de este evento vale que es que dice básicamente el nombre y la hora a la que es vale
2022-05-11 13:42:13.931384 CLASS: MAIN, METHOD: main() LOG: debería funcionar
2022-05-11 13:42:41.595322 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 13:42:41.784720 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 13:42:41.789771 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 13:42:41.794634 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 13:42:41.799678 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:42:41.806300 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:42:41.812753 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 13:42:41.816322 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 13:42:41.821236 CLASS: NOTIFICATION_STORAGE, METHOD: ADD_NOTIFICATIONS_TO_SAY_NOW LOG: AÑADIENDO LA NOTIFICACION AL ARRAY PARA NOTIFICAR Y BORRANDOLA DEL TOTAL
2022-05-11 13:42:41.825754 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 13:42:47.844337 CLASS: BLUETOOTH_NEAR_BY, METHOD: NEAR_BY() LOG: La pulsera con la direccion MAC: C8:72:64:ED:20:B0encontrada: False
2022-05-11 13:42:48.553271 CLASS: MAIN, METHOD: main() LOG: ahora pero bueno el correo no lo tengo todavía me funciona pero no lo he hecho no está todavía perfecto y bueno luego había más funciones de enviar un correo crear un evento del calendario que le f***** no quiero no voy a hacer pero bueno ahora hay algún dipus por aquí para que lo tenga sea y lo estoy haciendo con esta cuenta con la cuenta de
2022-05-11 13:42:52.588917 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: ACTUALIZANDO ARRAYS
2022-05-11 13:42:52.593950 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 13:43:52.665336 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 13:43:52.824306 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 13:43:52.827507 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 13:43:52.830453 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 13:43:52.833328 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:43:52.836267 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:43:52.839582 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 13:43:52.842437 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 13:43:52.845779 CLASS: NOTIFICATION_STORAGE, METHOD: ADD_NOTIFICATIONS_TO_SAY_NOW LOG: AÑADIENDO LA NOTIFICACION AL ARRAY PARA NOTIFICAR Y BORRANDOLA DEL TOTAL
2022-05-11 13:43:52.849484 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 13:43:57.569923 CLASS: MAIN, METHOD: main() LOG: tienes un evento a las 2 de la tarde y nada eso es
2022-05-11 13:43:58.869335 CLASS: BLUETOOTH_NEAR_BY, METHOD: NEAR_BY() LOG: La pulsera con la direccion MAC: C8:72:64:ED:20:B0encontrada: False
2022-05-11 13:43:58.872407 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: ACTUALIZANDO ARRAYS
2022-05-11 13:43:58.875210 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 13:44:30.204312 CLASS: MAIN, METHOD: main() LOG: por ejemplo sony 41-43 me tendría que avisar de esto de tovares te dice básicamente el nombre y la hora a la que es vale entonces
2022-05-11 13:44:58.937881 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 13:44:59.096039 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 13:44:59.099276 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 13:44:59.102228 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 13:44:59.105083 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:44:59.108116 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:44:59.111431 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 13:44:59.114895 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 13:44:59.118524 CLASS: NOTIFICATION_STORAGE, METHOD: ADD_NOTIFICATIONS_TO_SAY_NOW LOG: AÑADIENDO LA NOTIFICACION AL ARRAY PARA NOTIFICAR Y BORRANDOLA DEL TOTAL
2022-05-11 13:44:59.121431 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 13:45:01.115965 CLASS: MAIN, METHOD: main() LOG: y luego había más funciones de enviar un correo crear un evento del calendario que les f***** no quiero ponerme a revisar y no voy a hacer pero bueno ahora que lo tengas ya y al final estoy haciendo con esta cuenta con la cuenta de
2022-05-11 13:45:05.141428 CLASS: BLUETOOTH_NEAR_BY, METHOD: NEAR_BY() LOG: La pulsera con la direccion MAC: C8:72:64:ED:20:B0encontrada: False
2022-05-11 13:45:05.144417 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: ACTUALIZANDO ARRAYS
2022-05-11 13:45:05.147218 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 13:45:24.403530 CLASS: MAIN, METHOD: main() LOG: cállate ya que te lo avisado marca como que ya está ahí para que no te lo digo más veces y nada
2022-05-11 13:46:05.204735 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 13:46:05.366882 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 13:46:05.370151 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 13:46:05.373109 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 13:46:05.375977 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:46:05.379272 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:46:05.382575 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 13:46:05.385677 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 13:46:05.388872 CLASS: NOTIFICATION_STORAGE, METHOD: ADD_NOTIFICATIONS_TO_SAY_NOW LOG: AÑADIENDO LA NOTIFICACION AL ARRAY PARA NOTIFICAR Y BORRANDOLA DEL TOTAL
2022-05-11 13:46:05.391802 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 13:46:11.411802 CLASS: BLUETOOTH_NEAR_BY, METHOD: NEAR_BY() LOG: La pulsera con la direccion MAC: C8:72:64:ED:20:B0encontrada: False
2022-05-11 13:46:11.414884 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: ACTUALIZANDO ARRAYS
2022-05-11 13:46:11.417733 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 13:47:11.482933 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 13:47:11.633663 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 13:47:11.636692 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 13:47:11.639893 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 13:47:11.642770 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:47:11.645653 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:47:11.649166 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 13:47:11.652064 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 13:47:11.655349 CLASS: NOTIFICATION_STORAGE, METHOD: ADD_NOTIFICATIONS_TO_SAY_NOW LOG: AÑADIENDO LA NOTIFICACION AL ARRAY PARA NOTIFICAR Y BORRANDOLA DEL TOTAL
2022-05-11 13:47:11.658390 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 13:47:17.673861 CLASS: BLUETOOTH_NEAR_BY, METHOD: NEAR_BY() LOG: La pulsera con la direccion MAC: C8:72:64:ED:20:B0encontrada: False
2022-05-11 13:47:17.676896 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: ACTUALIZANDO ARRAYS
2022-05-11 13:47:17.679790 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 13:48:17.744658 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 13:48:17.889982 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 13:48:17.893136 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 13:48:17.896220 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 13:48:17.899043 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:48:17.901938 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:48:17.905235 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 13:48:17.908079 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 13:48:17.912176 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 13:48:17.915277 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 13:48:17.918222 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 13:48:17.921201 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 13:48:17.924136 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 13:49:17.984624 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 13:49:18.164882 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 13:49:18.168011 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 13:49:18.170944 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 13:49:18.173799 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:49:18.177025 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:49:18.180294 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 13:49:18.183500 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 13:49:18.187007 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 13:49:18.190040 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 13:49:18.193281 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 13:49:18.196246 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 13:49:18.199071 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 13:50:18.263937 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 13:50:18.453607 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 13:50:18.456763 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 13:50:18.459684 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 13:50:18.462572 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:50:18.465598 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:50:18.468944 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 13:50:18.472010 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 13:50:18.475426 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 13:50:18.478409 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 13:50:18.481152 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 13:50:18.483983 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 13:50:18.486762 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 13:51:18.517006 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 13:51:18.694215 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 13:51:18.697288 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 13:51:18.700237 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 13:51:18.703142 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:51:18.706090 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:51:18.709409 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 13:51:18.712551 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 13:51:18.715853 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 13:51:18.719429 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 13:51:18.722412 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 13:51:18.725174 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 13:51:18.728134 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 13:52:18.785877 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 13:52:18.967101 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 13:52:18.970215 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 13:52:18.973157 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 13:52:18.976021 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:52:18.978960 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:52:18.982256 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 13:52:18.985331 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 13:52:18.988545 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 13:52:18.991582 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 13:52:18.994967 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 13:52:18.997784 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 13:52:19.000623 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 13:53:19.064104 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 13:53:19.213261 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 13:53:19.216264 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 13:53:19.219225 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 13:53:19.222271 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:53:19.225337 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 13:53:19.228671 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 13:53:19.233043 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 13:53:19.236852 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 13:53:19.239594 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 13:53:19.243230 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 13:53:19.246066 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
